term;uuid;concept;type;term_uuid;term_misspelled;version
onkologsjuksköterska;e6c58d96-1b9e-5f28-9e88-5beec80bb17a;Onkologisjuksköterska;YRKE;db55d6f3-f485-5f97-a254-7aa3dbc588f0;True;NARVALONTOLOGI-2.0.0.157
operationsjuksköterska;9a91b7f3-d721-58b8-84fa-b1ab40e800d1;Operationssjuksköterska;YRKE;6d4893e6-ac36-5c60-874a-e5a997d25250;True;NARVALONTOLOGI-2.0.0.157
operationssjusköterska;9a91b7f3-d721-58b8-84fa-b1ab40e800d1;Operationssjuksköterska;YRKE;ac8197b9-8f46-5ea1-9ec3-e8afc2060c12;True;NARVALONTOLOGI-2.0.0.157
operationsköterska;9a91b7f3-d721-58b8-84fa-b1ab40e800d1;Operationssjuksköterska;YRKE;98226ba1-cfd9-5ff6-9478-fd8190612973;True;NARVALONTOLOGI-2.0.0.157
opertör;5580e060-1c20-589a-808a-393b47ef6f59;Operatör;YRKE;cd327997-f96d-5fba-8c16-eaaa971e1109;True;NARVALONTOLOGI-2.0.0.157
optikerassisten;7fd881a5-4c8e-57f0-8375-4573a9c95678;Optikerassistent;YRKE;186ba95a-e47e-50a2-8893-6c86b41528dd;True;NARVALONTOLOGI-2.0.0.157
optikerassitent;7fd881a5-4c8e-57f0-8375-4573a9c95678;Optikerassistent;YRKE;4210adbb-ebf2-533c-91a2-41e311b87df8;True;NARVALONTOLOGI-2.0.0.157
optimiser;ab309bb4-55fd-57d2-acc9-4ea04f7720eb;Optimizer;YRKE;2c7f0ace-86d3-581d-98fc-61bbd0bcb5aa;True;NARVALONTOLOGI-2.0.0.157
orderadminstratör;32f695d2-b095-5053-af51-c7cbeb947422;Orderadministratör;YRKE;35f9afcd-82ab-5903-8314-468b09ab96a8;True;NARVALONTOLOGI-2.0.0.157
oderhanterare;36cef08a-80c4-5980-b1a5-34e46a0209be;Orderhanterare;YRKE;267a0f73-9104-504f-8e60-0dc588fd54af;True;NARVALONTOLOGI-2.0.0.157
ordermottgare;484654d5-b741-565c-819c-aceeaebf7568;Ordermottagare;YRKE;0ca15d2f-cdce-54ba-a4ce-48a16ad5f040;True;NARVALONTOLOGI-2.0.0.157
