term;uuid;concept;type;term_uuid;term_misspelled;version
businessinriktad;4a8fc8a3-bdd0-55ce-9d2c-f05794057e85;Businessminded;FORMAGA;c83091ca-b88d-561b-9144-c6dc58d9c143;False;NARVALONTOLOGI-2.0.0.157
businessminded;4a8fc8a3-bdd0-55ce-9d2c-f05794057e85;Businessminded;FORMAGA;e27dc6c8-af6c-5e82-9c29-9d75be5f3ddc;False;NARVALONTOLOGI-2.0.0.157
chosefri;e548afeb-123e-59f1-a2b7-74ee83961124;Chosefri;FORMAGA;4c825d54-64e5-521b-9c62-e15ff64d84a4;False;NARVALONTOLOGI-2.0.0.157
coachande ledarstil;b44dc6cd-ad6c-5d27-9297-e703b847bfb3;Coachande ledarstil;FORMAGA;14049e62-5247-5fcb-9879-14b9f072fef0;False;NARVALONTOLOGI-2.0.0.157
detaljdriven;bef63e2d-2d03-5805-95cf-411e1c49d015;Detaljorienterad;FORMAGA;5283e48c-aba2-5042-b761-863b337a0c15;False;NARVALONTOLOGI-2.0.0.157
detaljfokuserad;bef63e2d-2d03-5805-95cf-411e1c49d015;Detaljorienterad;FORMAGA;66a6bb22-2ba6-5b17-8ea6-4bb6d6782b15;False;NARVALONTOLOGI-2.0.0.157
detaljinriktad;bef63e2d-2d03-5805-95cf-411e1c49d015;Detaljorienterad;FORMAGA;e9e10e88-816a-5bca-b030-5c94f821b318;False;NARVALONTOLOGI-2.0.0.157
detaljintresserad;bef63e2d-2d03-5805-95cf-411e1c49d015;Detaljorienterad;FORMAGA;49114471-a31d-5841-b3d2-ed2a0b4604f2;False;NARVALONTOLOGI-2.0.0.157
detaljmedveten;bef63e2d-2d03-5805-95cf-411e1c49d015;Detaljorienterad;FORMAGA;0152168b-a888-5a1b-9ec9-0590a53c3a28;False;NARVALONTOLOGI-2.0.0.157
detaljorienterad;bef63e2d-2d03-5805-95cf-411e1c49d015;Detaljorienterad;FORMAGA;6c533e3f-1dd1-57b5-ab6f-4e87dabfc530;False;NARVALONTOLOGI-2.0.0.157
detaljfokus;1aec5768-6baa-5bc7-a252-3b91fd47fed2;Detaljfokus;FORMAGA;b24eb8ae-de11-5add-9f65-251543ebb256;False;NARVALONTOLOGI-2.0.0.157
detaljkänsla;1aec5768-6baa-5bc7-a252-3b91fd47fed2;Detaljfokus;FORMAGA;53f20f28-9546-5755-be66-bf526769d926;False;NARVALONTOLOGI-2.0.0.157
dialoginriktad;5d579610-6236-5df3-9255-adda225d3eeb;Dialoginriktad;FORMAGA;c44af80a-30f9-5f98-9b6e-adac0a41fc92;False;NARVALONTOLOGI-2.0.0.157
diciplinerad;21dc3b86-e855-5653-9126-ce897b6aa3ad;Diciplinerad;FORMAGA;ba7a5a68-afe2-56e8-aa9c-ee33015f27a5;False;NARVALONTOLOGI-2.0.0.157
diplomatisk;f4255aff-b1ae-5e8e-b7c3-8f3fe86c76ca;Diplomatisk;FORMAGA;78653caa-7e43-5367-92d5-6bd355069d8d;False;NARVALONTOLOGI-2.0.0.157
diplomatisk ådra;f4255aff-b1ae-5e8e-b7c3-8f3fe86c76ca;Diplomatisk;FORMAGA;9a1f55f7-8524-56dc-8bed-5aa3b3a87181;False;NARVALONTOLOGI-2.0.0.157
djärv;317f4a71-ceaa-5553-9bcd-0b21942be20f;Djärv;FORMAGA;46b0f89e-9d47-5028-89a6-e6e7945cacbc;False;NARVALONTOLOGI-2.0.0.157
doer;20b3acd0-8cb5-5325-8390-f6a171f649b9;Doer;FORMAGA;933dee8d-01cd-5929-bf42-4110e47f8184;False;NARVALONTOLOGI-2.0.0.157
driftig;fde32054-1583-5ab4-ae73-2f0d6dcc13f3;Driftig;FORMAGA;2204cf95-244a-5ff6-862b-020569ab981b;False;NARVALONTOLOGI-2.0.0.157
driftighet;fde32054-1583-5ab4-ae73-2f0d6dcc13f3;Driftig;FORMAGA;80a3cf72-c656-5108-870d-4d3d9fcc03ba;False;NARVALONTOLOGI-2.0.0.157
